q_learning,tit_for_tat,accumulate_credits,detective,grudger
6.3,0.0,0.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0
7.7,13.55,9.0,0.0,0.0
7.7,13.55,9.0,0.0,0.0
7.7,13.55,9.0,0.0,0.0
7.7,13.55,9.0,0.0,0.0
7.7,13.55,9.0,0.0,0.0
9.2,1.5,0.0,0.0,7.55
9.2,1.5,0.0,0.0,7.55
9.2,1.5,0.0,0.0,7.55
9.2,1.5,0.0,0.0,7.55
9.2,1.5,0.0,0.0,7.55
8.0,8.45,7.55,0.0,0.0
8.0,8.45,7.55,0.0,0.0
8.0,8.45,7.55,0.0,0.0
8.0,8.45,7.55,0.0,0.0
8.0,8.45,7.55,0.0,0.0
6.45,5.85,0.0,0.0,0.0
6.45,5.85,0.0,0.0,0.0
6.45,5.85,0.0,0.0,0.0
6.45,5.85,0.0,0.0,0.0
6.45,5.85,0.0,0.0,0.0
7.8,12.35,0.0,13.35,0.0
7.8,12.35,0.0,13.35,0.0
7.8,12.35,0.0,13.35,0.0
7.8,12.35,0.0,13.35,0.0
7.8,12.35,0.0,13.35,0.0
7.4,7.75,4.5,9.0,0.0
7.4,7.75,4.5,9.0,0.0
7.4,7.75,4.5,9.0,0.0
7.4,7.75,4.5,9.0,0.0
7.4,7.75,4.5,9.0,0.0
8.8,7.55,0.0,10.4,0.0
8.8,7.55,0.0,10.4,0.0
8.8,7.55,0.0,10.4,0.0
8.8,7.55,0.0,10.4,0.0
8.8,7.55,0.0,10.4,0.0
6.4,4.5,11.9,13.55,0.0
6.4,4.5,11.9,13.55,0.0
6.4,4.5,11.9,13.55,0.0
6.4,4.5,11.9,13.55,0.0
6.4,4.5,11.9,13.55,0.0
9.95,11.9,0.0,4.5,0.0
9.95,11.9,0.0,4.5,0.0
9.95,11.9,0.0,4.5,0.0
9.95,11.9,0.0,4.5,0.0
9.95,11.9,0.0,4.5,0.0
8.35,13.35,0.0,0.0,0.0
